Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;36 Pontevedra;Mujeres;1 de octubre de 2025;491.599
Todas las edades;36 Pontevedra;Mujeres;1 de julio de 2025;491.015
Todas las edades;36 Pontevedra;Mujeres;1 de abril de 2025;490.541
Todas las edades;26 Rioja, La;Total;1 de octubre de 2025;329.522
Todas las edades;26 Rioja, La;Total;1 de julio de 2025;328.548
Todas las edades;26 Rioja, La;Total;1 de abril de 2025;327.967
Todas las edades;26 Rioja, La;Hombres;1 de octubre de 2025;162.643
Todas las edades;26 Rioja, La;Hombres;1 de julio de 2025;162.075
Todas las edades;26 Rioja, La;Hombres;1 de abril de 2025;161.792
Todas las edades;26 Rioja, La;Mujeres;1 de octubre de 2025;166.879
Todas las edades;26 Rioja, La;Mujeres;1 de julio de 2025;166.473
Todas las edades;26 Rioja, La;Mujeres;1 de abril de 2025;166.175
Todas las edades;37 Salamanca;Total;1 de octubre de 2025;328.971
Todas las edades;37 Salamanca;Total;1 de julio de 2025;328.236
Todas las edades;37 Salamanca;Total;1 de abril de 2025;328.057
Todas las edades;37 Salamanca;Hombres;1 de octubre de 2025;159.435
Todas las edades;37 Salamanca;Hombres;1 de julio de 2025;159.011
Todas las edades;37 Salamanca;Hombres;1 de abril de 2025;158.964
Todas las edades;37 Salamanca;Mujeres;1 de octubre de 2025;169.536
Todas las edades;37 Salamanca;Mujeres;1 de julio de 2025;169.225
Todas las edades;37 Salamanca;Mujeres;1 de abril de 2025;169.093
Todas las edades;38 Santa Cruz de Tenerife;Total;1 de octubre de 2025;1.091.322
Todas las edades;38 Santa Cruz de Tenerife;Total;1 de julio de 2025;1.089.580
Todas las edades;38 Santa Cruz de Tenerife;Total;1 de abril de 2025;1.087.033
Todas las edades;38 Santa Cruz de Tenerife;Hombres;1 de octubre de 2025;535.478
Todas las edades;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2025;534.584
Todas las edades;38 Santa Cruz de Tenerife;Hombres;1 de abril de 2025;533.260
Todas las edades;38 Santa Cruz de Tenerife;Mujeres;1 de octubre de 2025;555.844
Todas las edades;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2025;554.996
Todas las edades;38 Santa Cruz de Tenerife;Mujeres;1 de abril de 2025;553.773
Todas las edades;40 Segovia;Total;1 de octubre de 2025;159.180
Todas las edades;40 Segovia;Total;1 de julio de 2025;158.838
Todas las edades;40 Segovia;Total;1 de abril de 2025;158.400
Todas las edades;40 Segovia;Hombres;1 de octubre de 2025;79.901
Todas las edades;40 Segovia;Hombres;1 de julio de 2025;79.755
Todas las edades;40 Segovia;Hombres;1 de abril de 2025;79.482
Todas las edades;40 Segovia;Mujeres;1 de octubre de 2025;79.279
Todas las edades;40 Segovia;Mujeres;1 de julio de 2025;79.083
Todas las edades;40 Segovia;Mujeres;1 de abril de 2025;78.918
Todas las edades;41 Sevilla;Total;1 de octubre de 2025;1.984.893
Todas las edades;41 Sevilla;Total;1 de julio de 2025;1.984.970
Todas las edades;41 Sevilla;Total;1 de abril de 2025;1.981.002
Todas las edades;41 Sevilla;Hombres;1 de octubre de 2025;968.687
Todas las edades;41 Sevilla;Hombres;1 de julio de 2025;968.726
Todas las edades;41 Sevilla;Hombres;1 de abril de 2025;966.530
Todas las edades;41 Sevilla;Mujeres;1 de octubre de 2025;1.016.206
Todas las edades;41 Sevilla;Mujeres;1 de julio de 2025;1.016.244
Todas las edades;41 Sevilla;Mujeres;1 de abril de 2025;1.014.472
Todas las edades;42 Soria;Total;1 de octubre de 2025;90.660
Todas las edades;42 Soria;Total;1 de julio de 2025;90.519
Todas las edades;42 Soria;Total;1 de abril de 2025;90.216
Todas las edades;42 Soria;Hombres;1 de octubre de 2025;46.089
Todas las edades;42 Soria;Hombres;1 de julio de 2025;46.032
Todas las edades;42 Soria;Hombres;1 de abril de 2025;45.875
Todas las edades;42 Soria;Mujeres;1 de octubre de 2025;44.571
Todas las edades;42 Soria;Mujeres;1 de julio de 2025;44.487
Todas las edades;42 Soria;Mujeres;1 de abril de 2025;44.341
Todas las edades;43 Tarragona;Total;1 de octubre de 2025;885.545
Todas las edades;43 Tarragona;Total;1 de julio de 2025;882.256
Todas las edades;43 Tarragona;Total;1 de abril de 2025;877.860
Todas las edades;43 Tarragona;Hombres;1 de octubre de 2025;444.089
Todas las edades;43 Tarragona;Hombres;1 de julio de 2025;442.269
Todas las edades;43 Tarragona;Hombres;1 de abril de 2025;439.752
Todas las edades;43 Tarragona;Mujeres;1 de octubre de 2025;441.456
Todas las edades;43 Tarragona;Mujeres;1 de julio de 2025;439.987
